1,21P/Джакобини — Циннера,comet,Мишель Джакобини,20.12.1900,"диффузный объект 10,5 — 11,0 m звёздной величины с центральной конденсацией яркостью 12,0 m и комой около 1 угловой минуты в поперечнике. Комета обладает довольно коротким периодом обращения вокруг Солнца — чуть более 6,4 года."
2,Солнце,star,,,"одна из звёзд нашей Галактики (Млечный Путь) и единственная звезда Солнечной системы. Вокруг Солнца обращаются другие объекты этой системы: планеты и их спутники, карликовые планеты и их спутники, астероиды, метеороиды, кометы и космическая пыль. По спектральной классификации Солнце относится к типу G2V (жёлтый карлик). Средняя плотность Солнца составляет 1,4 г/см³ (в 1,4 раза больше, чем у воды). Эффективная температура поверхности Солнца — 5780 кельвин."
3,Венера,planet,,,"вторая по удалённости от Солнца и шестая по размеру планета Солнечной системы, наряду с Меркурием, Землёй и Марсом принадлежащая к семейству планет земной группы. Названа в честь древнеримской богини любви Венеры. По ряду характеристик — например, по массе и размерам — Венера считается «сестрой» Земли. Венерианский год составляет 224,7 земных суток. Она имеет самый длинный период вращения вокруг своей оси (около 243 земных суток, в среднем 243,0212 ± 0,00006 сут) среди всех планет Солнечной системы и вращается в направлении, противоположном направлению вращения большинства планет."
4,Луна,satellite,,,"единственный естественный спутник Земли. Самый близкий к Солнцу спутник планеты, так как у ближайших к Солнцу планет (Меркурия и Венеры) их нет. Второй по яркости объект на земном небосводе после Солнца и пятый по величине естественный спутник планеты Солнечной системы. Среднее расстояние между центрами Земли и Луны — 384 467 км (0,00257 а.е., ~30 диаметров Земли)."
5,M41/Скопление малый улей,other,Джованни Баттиста Годиерна,01.01.1654,"рассеянное звёздное скопление в созвездии Большого Пса. M 41 находится около Сириуса (4 градуса практически точно на юг) и содержит около 100 звёзд. Среди них есть несколько красных гигантов, ярчайший из которых спектрального класса К3 расположен около центра скопления. Скопление удаляется от нас со скоростью около 34 км/с. Предполагаемый возраст скопления лежит между 190 и 240 миллионами лет."
6,Меркурий,planet,,,"наименьшая планета Солнечной системы и самая близкая к Солнцу. Названа в честь древнеримского бога торговли — быстрого Меркурия, поскольку она движется по небу быстрее других планет. Её период обращения вокруг Солнца составляет всего 87,97 земных суток — самый короткий среди всех планет Солнечной системы."
7,Марс,planet,,,"планета земной группы с разреженной атмосферой (давление на поверхности в 160 раз меньше земного). Особенностями поверхностного рельефа Марса можно считать ударные кратеры наподобие лунных, а также вулканы, долины, пустыни и полярные ледниковые шапки наподобие земных."
8,41P/Туттля — Джакобини — Кресака,comet,Хорас Туттль,3.05.1858,
9,205P/Джакобини,comet,Мишель Джакобини,01.01.1896,
10,T Возничего,star,Томас Дэвид Андерсон,01.02.1892,"медленная новая, двойная катаклизмическая переменная звезда (NB), затменная переменная звезда типа Алголя (EA) в созвездии Возничего на расстоянии приблизительно 2860 световых лет (около 877 парсеков) от Солнца. Видимая звёздная величина звезды — от +15,5m до +4,1m."
11,GK Персея,star,Томас Дэвид Андерсон,21.02.1901,"яркая новая звезда, вспыхнувшая в 1901 году в созвездии Персея на расстоянии 1500 световых лет от Земли. Она достигла максимальной яркости 0,2m звёздной величины, и была самой яркой новой звездой XX века до 1918 года. В настоящее время её видимая звездная величина колеблется около значения 13m."